film,naslov,leto,opis,trajanje,ocena_kritikov,oznaka,igralci,reziserji,zanri,drzave,teme,oznake
60,Let the Right One In,2008,"A 12-year-old boy befriends a mysterious young girl whose appearance in town suspiciously coincides with a horrifying series of murders in director Tomas Alfredson's adaptation of the book by author John Ajvide Lindqvist, who also wrote the screenplay. Oskar is a young boy who can't seem to shake off the local bullies, but all of that begins to change when a new neighbor moves in next door. After striking up an innocent friendship with his eccentric next-door neighbor, Oskar realizes that she is the vampire responsible for the recent rash of deaths around town. Despite the danger, however, Oskar's friendship with the girl ultimately takes precedence over his fear of her.",110,8,R,"['Kåre Hedebrant', 'Lina Leandersson', 'Henrik Dahl', 'Karin Bergquist', 'Peter Carlberg', 'Tomas Alfredson', 'Hoyte Van Hoytema', 'Johan Söderqvist', 'Frida Asp', 'John Ajvide Lindqvist', 'Mikael Brodin', 'Peter Aversten', 'Gunnar Carlsson', 'Anders Degerberg', 'Ricard Constantinou', 'Christoffer Demby', 'Suzanna Hamilton', 'Petter Fladeby', 'Henric Larsson', 'Jonas Jansson', 'Carl Molinder', 'John Nordling', 'Lena Rehnberg', 'Per-Erik Svensson', 'Eriks kompis', 'Ika Nord', 'Karl-Robert Lindgren', 'Mikael Rahm', 'Pale Olofsson', 'Rasmus Luthander', 'Malin Cederblad', 'Anders Peedu', 'Cayetano Ruiz', 'Ingemar Raukola', 'Patrik Rydmark', 'Johan Sömnes', 'Mikael Erhardsson', 'Tom Ljungman', 'Sören Källstigen', 'Berndt Östman', 'Kajsa Linderholm', 'Adam Stone', 'Kent Rishaug', 'Linus Hanner', 'Per Ragnar', 'Fredrik Ramel', 'Christoffer Bohlin', 'Julia Nilsson', 'Anders T. Peedu', 'Elin Almén', 'Susanne Ruben', 'Johan Somnes', 'Soren Kallstigen', 'Malin Cederbladh', 'Bernt Ostman', 'Kare  Hedebrant']","['Tomas Alfredson', 'John Nordling', 'Carl Molinder']","['Drama', 'Horror']",['Sweden'],"['Vampires', 'Dangerous Friends', 'Bullies', 'Unlikely Friendships']","['Brief Nudity', 'Graphic Violence', 'Profanity']"
61,Chisum,1970,"John Wayne toplines this biography of the cattle owner John Simpson Chisum, a controversial figure who was the most powerful man in New Mexico during the Wild West era. A founder and prominent citizen in the town of Lincoln, Chisum is slow to act when ruthless land baron Lawrence Murphy (Forrest Tucker) moves in on several local businesses and takes them over. By the time Chisum and his ally, fellow rancher Henry Tunstall (Patrick Knowles), decide to go to the law, Murphy's already bought and paid for influence there, as well. The only recourse left to the cattlemen is to take Murphy on in all-out range war that embroils everyone in the county, including Tunstall's hand Billy the Kid Bonney (Geoffrey Deuel) and his comrade Pat Garrett (Glenn Corbett). Screenwriter and producer Andrew J. Fenady based the script for Chisum (1970) on his own short story, a very loosely fact-based account of Chisum, Billy the Kid and their involvement in the Lincoln County wars.",110,8,G,"['John Wayne', 'Forrest Tucker', 'Christopher George', 'Ben Johnson', 'Glenn Corbett', 'Bruce Cabot', 'Andrew Prine', 'Patric Knowles', 'Richard Jaeckel', 'Lynda Day George', 'John Agar', 'Lloyd Battista', 'Robert Donner', 'Ray Teal', 'Linda Day', 'Edward Faulkner', 'Ron Soble', 'John Mitchum', 'Glenn Langan', 'Alan Baxter', 'Alberto Morín', 'William Bryant', 'Christopher Mitchum', 'Pedro Armendariz, Jr.', 'Abraham Sofaer', 'Gregg Palmer', 'Geoffrey Deuel', 'Pamela McMyler', 'Chuck Roberson', 'Hank Worden', 'John M. Pickard', 'Ralph Volkie', 'Pedro Gonzalez Gonzalez', 'Pedro Armendáriz Jr.', 'Jim Burk', 'John Pickard', 'Eddy Donno', 'William Conrad']",['Andrew V. McLaglen'],"['Western', 'Action', 'Adventure']",['United States'],['Ranchers'],['Suitable for Children']
62,Diner,1982,"Writer-director Barry Levinson's autobiographical first feature fondly remembers his Baltimore youth.  It's late 1959, and six guys in their early twenties are stumbling  into adulthood, alternating responsibility with carefree time at their local diner.  The story centers on the return from college of Billy (Tim Daly) to serve as best man at the wedding of his pal Eddie (Steve Guttenberg).  Billy is consumed by a confusing relationship with a close female friend, while Eddie still lives at home, preparing a football trivia test for his fiancée and vowing to cancel the wedding if she fails.  Other characters woven into the narrative include Boogie (Mickey Rourke), a womanizer with a gambling problem, and Shrevie (Daniel Stern), a music addict with a troubled marriage.  Diner became known for its bittersweet comic screenplay and its remarkable cast, which also included Paul Reiser, Kevin Bacon, and Ellen Barkin.  In order to capture the loose, laid-back dialogue of the diner scenes, Levinson directed them last, so that the actors would be more comfortable with each other.  Diner was the first part of Levinson's ""Baltimore Trilogy,"" followed by Tin Men (1987) and Avalon (1990).",110,10,R,"['Steve Guttenberg', 'Daniel Stern', 'Mickey Rourke', 'Kevin Bacon', 'Tim Daly', 'Ellen Barkin', 'Paul Reiser', 'Kathryn Dowling', 'Michael Tucker', 'Jessica James', 'Colette Blonigan', 'Ellen Chenoweth', 'Kelle Kipp', 'John Aquino', 'Arnold Mazer', 'Richard Pierson', 'Claudia Cron', 'Pam Gail', 'Lauren Zaganas', 'Frank Stoegerer', 'Nat Benchley', 'Tom Tammi', 'Frank Hennessy', 'Marvin Hunter', 'Steve Smith', 'Lee Case', 'Clement Fowler', ""Howard 'Chip' Silverman"", 'Barney Cohen', 'Bruce Kluger', 'Carole Copeland', 'Aryeh Cooperstock', 'Brian Costantini', 'Brian Constantini', 'Florence Moody', 'Alan Kaplan', 'Beverly Sheehan', 'Ted Bafaloukos', 'Florence L. Moody', 'Mary Lou Vukov', 'Tait Ruppert', 'Tom V.V. Tammi', 'Sharon Ziman', 'Mark Margolis', 'Ralph Tabakin', 'Timothy Daly']",['Barry Levinson'],"['Comedy', 'Drama']",['United States'],"['Faltering Friendships', ""Men's Friendship"", 'Wedding Bells']","['Adult Situations', 'Profanity']"
63,The Ceremony,1971,"This well-known film by auteur director Nagisa Oshima offers a humorous and trenchant commentary on trends in Japanese society. Looking through the eyes of a younger son in a lesser branch of an important Japanese family, we see simultaneously the boy's history, the family's history and the history of Japan. This is done by showing important family ceremonies over the years: anniversaries, weddings, funerals, etc. Various factions in the family, which reflect the factions in Japanese society, struggle for superiority. Viewers of this film will find their enjoyment enriched if they have some knowledge of recent Japanese history .",122,9,NR,"['Kenzo Kawarazaki', 'Atsuo Nakamura', 'Kei Satô', 'Atsuko Kaku', 'Akiko Koyama']",['Nagisa Oshima'],['Comedy Drama'],['Japan'],['Family Gatherings'],['Adult Situations']
64,Before Sunset,2004,"Richard Linklater directs the romantic drama Before Sunset, a sequel to Before Sunrise (1995). Jesse (Ethan Hawke) and Celine (Julie Delpy) were strangers who spent a loquacious night together in Vienna. Nine years later, Jesse has written a book about the encounter. During his accelerated European book tour, he reunites with Celine in Paris. Before Jesse's flight home, he joins Celine for a picturesque walk around Paris peppered with intimate conversation: at first, about the minutiae of their day-to-day lives and their relationships, and then about their lingering feelings for one another. Before Sunset was nominated for the Golden Bear at the Berlin International Film Festival.",80,10,R,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemonie Torres', 'Rodolphe Pauly', 'Mariane Plasteig', 'Diabolo', 'Denis Evrard', 'Albert Delpy', 'Marie Pillet', 'Louise Lemoine Torrès', 'Louise Lemoine Torres']",['Richard Linklater'],"['Drama', 'Romance', 'Comedy']","['France', 'United States']","['Lovers Reunited', 'Brief Encounters', 'Thirtysomething Life', ""Writer's Life""]","['Profanity', 'Sexual Situations']"
65,La Passione,1996,"Those fond of the music of Chris Rea will find this movie very satisfying as his music is the backbone of this film. Rea himself does not appear in it, though he wrote the screenplay. The story concerns Jo, a young Italian immigrant to England who steals an ice-cream recipe from his father, runs away from home, makes a best-selling perfume from the recipe, becomes rich and powerful, and then realizes that his family was more important than everything else. One of the film's notable highlights is auto racing footage from the 1960s. Singer Shirley Bassey appears as herself.",109,6,[],"['Shirley Bassey', 'Sean Gallagher', 'Thomas Orange', 'Paul Shane', 'Jan Ravens', 'Carmen Silvera', 'Keith Barron', 'Anna Pernicci', 'Belinda Stewart-Wilson']",['John B. Hobbs'],['Comedy Drama'],[],"['Ladder to the Top', 'Fathers and Sons', 'Immigrant Life']",['Adult Situations']
66,Inside Out,2015,"Emotions run wild in the mind of a little girl who is uprooted from her peaceful life in the Midwest and forced to move to San Francisco in this Pixar adventure from director Pete Docter (Up, Monsters Inc.). Young Riley was perfectly content with her life when her father landed a new job in San Francisco, and the family moved across the country. Now, as Riley prepares to navigate a new city and attend a new school, her emotional headquarters becomes a hot bed of activity. As Joy (voice of Amy Poehler) attempts to keep Riley feeling happy and positive about the move, other emotions like Fear (voice of Bill Hader), Anger (voice of Lewis Black), Disgust (voice of Mindy Kaling) and Sadness (Phyllis Smith) make the transition a bit more complicated.",102,9,PG,"['Mindy Kaling', 'Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Lewis Black', 'Richard Kind', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone', 'Bobby Moynihan', 'Dave Goelz', 'Frank Oz', 'Flea', 'John Ratzenberger', 'Carlos Alazraqui', 'Peter Sagal', 'Rashida Jones', 'Paula Pell', 'Josh Cooley']","['Pete Docter', 'Ronnie del Carmen']","['Comedy', ""Children's/Family""]",['United States'],"['Daring Rescues', 'Heroic Mission', 'New Kid in Town', 'Race Against Time', 'Showing Feelings [k]', 'Unlikely Friendships']",['Excellent For Children']
67,Bad Company,1972,"Set during the Civil War, Bad Company stars Barry Brown as a Northern boy, Drew Dixon, who heads West to avoid getting drafted. He falls under the spell of Jake Rumsey (Jeff Bridges), an easygoing young con artist. Drew joins Jake's gang of boy bandits, who live by their wits and try to avoid confrontation with adult criminals like Big Joe (David Huddleston). It is Drew who must eventually save Jake from hanging, even though he realizes that his intervention could lead to his own execution.",93,8,PG,"['Jeff Bridges', 'Barry Brown', 'David Huddleston', 'John Savage', 'Jerry Houser', 'Damon Cofer', 'Joshua Hill Lewis', 'Charles Tyner', 'Jean Allison', 'Ned Wertimer', 'Ted Gehring', 'Claudia Bryar', 'John Boyd', 'Monika Henreid', 'Todd Martin', 'Geoffrey Lewis', 'Raymond Guth', 'Ed Lauter', 'Damon Douglas', 'John Quade', 'Jimmy Davis']",['Robert Benton'],"['Western', 'Action', 'Adventure', 'War', 'Drama']",['United States'],"['Crime Sprees', 'Cons and Scams', 'Sheriffs and Outlaws']","['Adult Language', 'Adult Situations', 'Mild Violence', 'Questionable for Children']"
68,Network,1976,"A trenchant satire of ""trash TV,"" Network seems to grow only more relevant with each passing year. Howard Beale (Peter Finch), the dean of newscasters at the United Broadcasting System, is put out to pasture because he ""skews old."" Network executive Max Schumacher (William Holden), Howard's best friend, is forced to deliver the bad news. Beale can't stomach the idea of losing his 25-year post as anchorman simply because of age, so in his next broadcast he announces to the viewers that he's going to commit suicide on his final program. Network head Frank Hackett (Robert Duvall) is all for kicking Beale out then and there, but when it looks as though the UBS is going to have its greatest ratings ever on the night of Beale's self-destruction, ambitious programming exec Diana Christensen (Faye Dunaway) talks Hackett into treating that fateful final telecast as a special event. Naturally, Beale doesn't go through with it -- but he does begin rambling about the horrible state of the world in general and television in particular. He concludes his tirade by admonishing his viewers to ""Go to the window and shout as loud as you can: 'I'm mad as hell and I'm not going to take it anymore!'"" With that, Howard Beale becomes the hottest TV personality in America, and Diana becomes the network's fair-haired girl. She draws up plans to treat the nightly news broadcast as garish entertainment (complete with a psychic), all built around the rants of Beale, billed as ""The Mad Prophet of the Airwaves."" Network won Oscars for Paddy Chayefsky's screenplay as well as for three of four acting categories -- Dunaway for Best Actress, Peter Finch for Best Actor (in the only posthumous Oscar yet awarded), and Beatrice Straight for Best Supporting Actress, in one of the shortest-screen-time performances ever to win an Oscar.",121,10,R,"['Peter Finch', 'Faye Dunaway', 'William Holden', 'Robert Duvall', 'Wesley Addy', 'Ned Beatty', 'Beatrice Straight', 'Arthur Burghardt', 'Bill Burrows', 'John F. Carpenter', 'Jordan Charney', 'Kathy Cronkite', 'Ed Crowley', 'Jerome Dempsey', 'Conchata Ferrell', 'Gene Gross', 'Stanley Grover', 'Cindy Grover', 'Darryl Hickman', 'Mitchell Jason', 'Paul Jenkins', 'Ken Kercheval', 'Kenneth Kimmins', 'Lynn Klugman', 'Carolyn Krigbaum', 'Zane Lasky', 'Michael Lombard', 'Pirie MacDonald', 'Russ Petranto', 'Bernie Pollack', 'Roy Poole', 'William Prince', 'Sasha von Scherler', 'Lane Smith', 'Theodore Sorel', 'Fred Stuthman', 'Cameron Thomas', 'Marlene Warfield', 'Lydia Wilson', 'Michael Lipton', 'Ted Sorel', 'Lydia Wilen', 'Lee Richardson', 'Ken Kimmins', 'Todd Everett', 'Lance Henriksen']",['Sidney Lumet'],"['Comedy', 'Romance', 'Drama']","['Germany', 'United States']","['Work Ethics', 'Members of the Press', 'Suicide']","['Adult Humor', 'Adult Situations', 'Mild Violence', 'Profanity', 'Sexual Situations']"
69,Lost Horizon,1937,"It took British author James Hilton six weeks to write his visionary novel Lost Horizon. It took director Frank Capra two years-and half of his home studio Columbia's annual budget-to bring it to the screen. After a lengthy preamble, inviting audiences to imagine their own ideas of Utopia, the film opens on a chaotic scene at a Chinese airfield. As hordes of bandits approach, hundreds of refugees scramble to board the last plane out. Only five people make it: Mildly disenchanted Far Eastern diplomat Robert Conway (Ronald Colman), his hotheaded younger brother George (John Howard), embezzler Barnard (Thomas Mitchell), dithery fossil expert Lovett (Edward Everett Horton) and consumptive prostitute Gloria Stone (Isabel Jewell). As the plane flies off towards the Himalayas, Robert realizes that he and his fellow passengers are heading in the wrong direction. They are, in fact, being kidnapped-but why? And where to? The plane crash-lands in the snowy Tibetan interior. The pilot is killed, but the passengers are safe. By and by, a strange caravan approaches, led by an enigmatic Chinese named Chang (H. B. Warner). Joining the caravan, Conway and his party are led through a treacherous mountain pass and into a land of temperate weather and dazzling beauty. This is Shangri-La, the idyllic lamasery presided over by the aged, wizened High Lama (Sam Jaffe). In this fertile valley, people are not encumbered by such exigencies as crime, dictators and hatred; instead, everyone is devoted to the pursuit of wisdom and self-improvement-and best of all, the aging process has been slowed to a walk, allowing people to live well past the two-century mark. Though he still does not know why he was brought here, Conway is quicker to adapt to Shangri-La than his wary fellow passengers. He even falls in love with Sondra (Jane Wyatt), an attractive, intelligent young woman. Finally granted an audience with the High Lama, Conway discovers that the old man is actually Father Perrault, the Belgian missionary who founded Shangri-La-over two hundred years earlier. Dying, the High Lama has selected Conway, whose idealism and even-handedness is world famous, to succeed him-and hopefully spread the ""love thy neighbor"" edict of Shangri-La to the rest of the war-torn world. Conway is willing to assume leadership, but younger brother George, his mind poisoned by spiteful Shangri-La resident Maria (Margo), insists upon escaping to the outside world. The older Conway warns that, despite her youthful appearance, Maria is well past sixty and will surely perish once she leaves Shangri-La; but Maria retorts that the high lama is insane, and that everything he has told Conway is a lie. Disillusioned, Conway agrees to leave with Jack and Maria. The trek back to civilization is a grueling one, especially for Maria, who-true to Conway's prediction-shrivels from age and dies. Appalled that he has been misled, George kills himself. Weeks later, and amnesiac Conway stumbles into a Tibetan mission, where he is rescued and brought back to England. When his memory is restored, however, Conway runs back to Shangri-La, and into the arms of Sondra. When Lost Horizon was shown to preview audiences, it ran nearly three hours-and it was a disaster. In his autobiography, Capra claims to have rescued his pet project by merely burning the first two reels and opening the film with the evacuation scene; In fact, while Capra did remove the film's ""flashback"" framework, he made most of his cuts in the body of the picture. The release length of Lost Horizon was 132 minutes, pared down to 119 when it when into general distribution. When it was reissued in the 1940s and 1950s, it was rather clumsily pared down to anywhere from 95 to 100 minutes. Only in the mid-1980s was Lost Horizon restored to its original length, with stills used to illustrate certain scenes for which only the soundtrack existed. While not the enormous hit Capra and Columbia had hoped it would be, Lost Horizon was popular enough to allow the name ""Shangri-La"" enter the household-word category. In 1973, producer Ross Hunter felt the urge to inflict a wretched musical remake onto an unsuspecting public.",97,9,NR,"['Ronald Colman', 'Jane Wyatt', 'Margo', 'Edward Everett Horton', 'Thomas Mitchell', 'Isabel Jewell', 'H.B. Warner', 'Sam Jaffe', 'Hugh Buckler', 'John Miltern', 'Lawrence Grant', 'John Burton', 'John T. Murray', 'Max Rabinowitz', 'John Tettener', 'Boyd Irwin', 'Leonard Mudie', 'David Clyde', 'Val Duran', 'Noble Johnson', ""Denis d'Auburn"", 'Milton Owen', 'George Chan', 'Eric Wilton', 'Chief Big Tree', 'Richard Loo', 'Beatrice Curtis', 'Mary Lou Dix', 'Beatrice Blinn', 'Arthur Rankin', 'Wyrley Birch', 'David Torrence', 'Norman Ainsley', 'Sonny Bupp', 'David Cavendish', 'Robert Cory', 'Jack Deery', 'John Howard', 'Neil Fitzgerald', 'Jeremy Irons, Sr.', 'Wryley Birch', 'Willie Fung', 'Margaret McWade', 'Henry Mowbray', 'Wedgewood Nowell', 'Ruth Robinson', 'Carl Stockdale', 'Victor Wong', 'Ronald Coleman']",['Frank Capra'],"['Action', 'Adventure', 'Fantasy', 'Drama', 'Science Fiction']",['United States'],"['Redemption', 'Lost Worlds', 'Crisis of Faith', 'Dropping Out', 'Fantasy Lands']",['Suitable for Children']
